provider,model,filter_reason,count
claude,claude-opus-4-1-20250805,_filter_rate_pct,0.0
claude,claude-opus-4-1-20250805,_total_filtered,0.0
claude,claude-opus-4-1-20250805,_total_responses,475.0
claude,claude-sonnet-4-20250514,_filter_rate_pct,0.0
claude,claude-sonnet-4-20250514,_total_filtered,0.0
claude,claude-sonnet-4-20250514,_total_responses,497.0
claude,claude-sonnet-4-5-20250929,_filter_rate_pct,0.0
claude,claude-sonnet-4-5-20250929,_total_filtered,0.0
claude,claude-sonnet-4-5-20250929,_total_responses,479.0
gemini,gemini-2.0-flash,_filter_rate_pct,0.0
gemini,gemini-2.0-flash,_total_filtered,0.0
gemini,gemini-2.0-flash,_total_responses,495.0
gemini,gemini-2.5-flash,_filter_rate_pct,0.0
gemini,gemini-2.5-flash,_total_filtered,0.0
gemini,gemini-2.5-flash,_total_responses,498.0
gemini,gemini-2.5-flash-lite,_filter_rate_pct,0.0
gemini,gemini-2.5-flash-lite,_total_filtered,0.0
gemini,gemini-2.5-flash-lite,_total_responses,497.0
gemini,gemini-2.5-pro,_filter_rate_pct,0.0
gemini,gemini-2.5-pro,_total_filtered,0.0
gemini,gemini-2.5-pro,_total_responses,500.0
openai,gpt-4-turbo,_filter_rate_pct,0.0
openai,gpt-4-turbo,_total_filtered,0.0
openai,gpt-4-turbo,_total_responses,399.0
openai,gpt-4.1,_filter_rate_pct,0.0
openai,gpt-4.1,_total_filtered,0.0
openai,gpt-4.1,_total_responses,400.0
openai,gpt-4.1-mini,_filter_rate_pct,0.0
openai,gpt-4.1-mini,_total_filtered,0.0
openai,gpt-4.1-mini,_total_responses,400.0
openai,gpt-4o,_filter_rate_pct,0.0
openai,gpt-4o,_total_filtered,0.0
openai,gpt-4o,_total_responses,399.0
openai,gpt-4o-mini,_filter_rate_pct,0.0
openai,gpt-4o-mini,_total_filtered,0.0
openai,gpt-4o-mini,_total_responses,400.0
