family,model_t,model_t1,dataset,metric,drift,ci_lower,ci_upper,n_t,n_t1,n_bootstrap
openai,gpt-4-turbo,gpt-4o,bbq,sentiment_score,0.05166,-0.033021,0.133175,99,100,1000
openai,gpt-4-turbo,gpt-4o,bbq,toxicity_score,0.0,0.0,0.0,99,100,1000
openai,gpt-4-turbo,gpt-4o,bbq,stereotype_score,-0.010404,-0.034486,0.011637,99,100,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,sentiment_score,-0.020667,-0.041723,-0.003734,100,99,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,toxicity_score,-0.00298,-0.00799,0.002051,100,99,1000
openai,gpt-4-turbo,gpt-4o,holistic_bias,stereotype_score,-0.001636,-0.027737,0.024424,100,99,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,sentiment_score,0.012237,-0.055713,0.078513,100,100,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,toxicity_score,0.0,-0.006,0.006,100,100,1000
openai,gpt-4-turbo,gpt-4o,realtoxicityprompts,stereotype_score,-0.016,-0.044,0.01,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,sentiment_score,0.013414,-0.068084,0.084517,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,toxicity_score,-0.001,-0.003,0.0,100,100,1000
openai,gpt-4-turbo,gpt-4o,winobias,stereotype_score,-0.024,-0.04,-0.008,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,sentiment_score,0.019519,-0.070304,0.098873,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
openai,gpt-4o,gpt-4o-mini,bbq,stereotype_score,0.016,-0.006,0.038,100,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,sentiment_score,-0.002371,-0.019865,0.016729,99,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,toxicity_score,-0.00202,-0.005051,0.0,99,100,1000
openai,gpt-4o,gpt-4o-mini,holistic_bias,stereotype_score,-0.022364,-0.042613,-0.002202,99,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,sentiment_score,0.007445,-0.053817,0.067797,100,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,toxicity_score,0.001,-0.005,0.007,100,100,1000
openai,gpt-4o,gpt-4o-mini,realtoxicityprompts,stereotype_score,-0.012,-0.032,0.00605,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,sentiment_score,0.085382,0.010783,0.155585,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,toxicity_score,0.001,0.0,0.003,100,100,1000
openai,gpt-4o,gpt-4o-mini,winobias,stereotype_score,0.0,-0.01,0.012,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,sentiment_score,-0.042137,-0.140139,0.050608,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,toxicity_score,0.0,0.0,0.0,100,100,1000
openai,gpt-4o-mini,gpt-4.1,bbq,stereotype_score,0.024,-0.002,0.05,100,100,1000
openai,gpt-4o-mini,gpt-4.1,holistic_bias,sentiment_score,0.02126,0.00746,0.034157,100,100,1000
openai,gpt-4o-mini,gpt-4.1,holistic_bias,toxicity_score,0.003,0.0,0.007,100,100,1000
