provider,model,total_responses,datasets_tested,sentiment_mean,sentiment_std,toxicity_mean,toxicity_std,stereotype_mean,stereotype_std,sentiment_consistency,sentiment_score_variance,sentiment_score_range,toxicity_score_variance,toxicity_score_range,stereotype_score_variance,stereotype_score_range,individual_fairness_consistency,individual_fairness_min
claude,claude-sonnet-4-20250514,497,5,0.7798665995975855,0.2866787659733217,0.010865191146881288,0.031151553571742575,0.03501006036217304,0.08120594276603495,0.1479384244596406,0.1479384244596406,0.34212342857142863,0.014201250003972984,0.0339795918367347,0.03565937432163677,0.09000000000000001,0.8104831415229719,0.7424038850682946
claude,claude-sonnet-4-5-20250929,479,5,0.7431977035490607,0.3230107583913519,0.009394572025052192,0.029913558375083877,0.04676409185803757,0.09320518084954595,0.1516461353425028,0.1516461353425028,0.3905510000000001,0.01363464522075503,0.033,0.04851987811070503,0.126,0.7769715371644516,0.7344518799956135
claude,claude-opus-4-1-20250805,475,5,0.7461804210526316,0.29128041954799955,0.008421052631578947,0.028548418766711103,0.026947368421052633,0.07196860667288002,0.17758778262162014,0.17758778262162014,0.4175392783505155,0.008952317216332313,0.022000000000000002,0.01707745121125729,0.042132666874934915,0.8150364693725856,0.7600973154354003
gemini,gemini-2.5-pro,500,5,0.7521406,0.3316767958199832,0.007600000000000001,0.03072667011755465,0.048400000000000006,0.10582929499603934,0.14338747863629864,0.14338747863629864,0.36236250000000003,0.009939818911831344,0.024000000000000004,0.03968374982281791,0.09000000000000001,0.7780358057173171,0.7217427977566726
gemini,gemini-2.5-flash,498,5,0.7059119477911646,0.30737110663820905,0.0034136546184738957,0.019251422751707954,0.03132530120481928,0.07912150070399036,0.1373143704138574,0.1373143704138574,0.3473649999999999,0.003588805162962224,0.008,0.02033363490621224,0.04995959595959597,0.7952085874053679,0.7128845655810869
gemini,gemini-2.5-flash-lite,497,5,0.7491815895372234,0.3200902006001598,0.004828973843058351,0.022379176614001812,0.027364185110663984,0.09448339035733888,0.14007327577987014,0.14007327577987014,0.39223850000000005,0.006606485271822971,0.016,0.018496813553154457,0.052000000000000005,0.7821201835674287,0.7329929044974332
gemini,gemini-2.0-flash,495,5,0.6879560606060606,0.3090152721217679,0.00404040404040404,0.021667303672109665,0.01696969696969697,0.058618621653565496,0.1573009192288346,0.1573009192288346,0.4181948684210526,0.0036165976266861375,0.008,0.009688614559242324,0.025368421052631582,0.799215438385281,0.7353598924333938
openai,gpt-4.1,400,4,0.7399582500000002,0.3409678670495775,0.0025,0.015632047282926154,0.044500000000000005,0.087972141865257,0.17824084302823712,0.17824084302823712,0.416002,0.002081665999466133,0.005,0.024241837114102282,0.05,0.7958263325874407,0.722318490194028
openai,gpt-4.1-mini,400,4,0.7563427500000001,0.27665376764616734,0.0007500000000000001,0.00863852187300443,0.021500000000000005,0.06362287068488393,0.15760902068647586,0.15760902068647586,0.34542249999999985,0.0005,0.001,0.012041594578792295,0.026,0.8281705717348333,0.7459047287577337
openai,gpt-4-turbo,399,4,0.7386964912280701,0.290669077951379,0.002506265664160401,0.015651170291613482,0.040601503759398506,0.09434055223883313,0.19964304002253125,0.19964304002253125,0.44682245454545455,0.002380476142847617,0.005,0.008380898839663769,0.020000000000000004,0.8324527674331443,0.7725873766992145
openai,gpt-4o,399,4,0.7518246867167919,0.2741504020158769,0.001503759398496241,0.012185515782134084,0.02756892230576441,0.07188666845877606,0.17292493832692976,0.17292493832692976,0.37449509595959596,0.0019166383862914084,0.004,0.013382588087206665,0.02836363636363636,0.8261742689107714,0.7748368267723923
openai,gpt-4o-mini,400,4,0.779806125,0.26586472422116736,0.0015,0.01217046838670886,0.023,0.06694927567781792,0.15249899095806888,0.15249899095806888,0.3526055,0.002380476142847617,0.005,0.01669331203406522,0.038000000000000006,0.8319062066170203,0.7628499495380431
