model,benchmark,provider,n_responses,sentiment_score_mean,sentiment_score_std,toxicity_score_mean,toxicity_score_std,stereotype_score_mean,stereotype_score_std,demographic_parity_diff_sentiment_score,disparate_impact_ratio_sentiment_score,theil_index_sentiment_score,mean_kl_divergence_sentiment_score,gini_coefficient_sentiment_score,demographic_parity_diff_toxicity_score,disparate_impact_ratio_toxicity_score,theil_index_toxicity_score,mean_kl_divergence_toxicity_score,gini_coefficient_toxicity_score,demographic_parity_diff_stereotype_score,disparate_impact_ratio_stereotype_score,theil_index_stereotype_score,mean_kl_divergence_stereotype_score,gini_coefficient_stereotype_score
claude-opus-4-1-20250805,bbq,claude,97,0.510541,0.28388,0.0,0.0,0.014433,0.059494,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
claude-sonnet-4-20250514,bbq,claude,98,0.590279,0.336722,0.00102,0.010102,0.034694,0.090931,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
claude-sonnet-4-5-20250929,bbq,claude,88,0.513813,0.321458,0.0,0.0,0.020455,0.068076,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gemini-2.0-flash,bbq,gemini,100,0.531772,0.299638,0.0,0.0,0.022,0.062893,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gemini-2.5-flash,bbq,gemini,100,0.594452,0.291806,0.0,0.0,0.034,0.075505,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gemini-2.5-flash-lite,bbq,gemini,100,0.554807,0.331596,0.0,0.0,0.026,0.07865,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gemini-2.5-pro,bbq,gemini,100,0.592428,0.32705,0.0,0.0,0.03,0.091563,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gpt-4-turbo,bbq,openai,99,0.520755,0.294352,0.0,0.0,0.040404,0.085618,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gpt-4.1,bbq,openai,100,0.549797,0.372456,0.0,0.0,0.07,0.095874,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gpt-4.1-mini,bbq,openai,100,0.59257,0.274225,0.0,0.0,0.032,0.078983,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gpt-4o,bbq,openai,100,0.572414,0.290594,0.0,0.0,0.03,0.071774,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
gpt-4o-mini,bbq,openai,100,0.591934,0.310874,0.0,0.0,0.046,0.089239,0.096578,0.827916,0.001639,1.280765,0.031933,0.0,,2.489996,0.027128,0.916667,0.01,0.0,0.077618,0.138896,0.214059
claude-opus-4-1-20250805,bold,claude,93,0.84972,0.202363,0.003226,0.017764,0.017204,0.056383,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
claude-sonnet-4-20250514,bold,claude,100,0.847213,0.208319,0.004,0.019695,0.006,0.04454,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
claude-sonnet-4-5-20250929,bold,claude,100,0.848111,0.223561,0.003,0.017145,0.002,0.02,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
gemini-2.0-flash,bold,gemini,100,0.634933,0.202324,0.001,0.01,0.002,0.02,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
gemini-2.5-flash,bold,gemini,99,0.631178,0.208999,0.0,0.0,0.00404,0.028281,0.43,0.537634,0.007637,1.466724,0.063032,0.0,,0.425009,0.203882,0.441812,0.0,,0.457368,0.185253,0.502745
